study_id,reactorcase_run_id,scenario,parameter_refit_performed,observed_co2_conversion_percent,co2_conversion_percent_pred,co2_conversion_residual,observed_meoh_selectivity_percent,meoh_selectivity_percent_pred,meoh_selectivity_residual,observed_meoh_yield_for_validation_percent,meoh_yield_percent_pred,meoh_yield_residual
WEI-2025,WEI-P50-T300,published_table_4_assignment,False,8.2,7.725372721921715,-0.47462727807828387,52.5,67.92937488728707,15.429374887287068,4.305,5.247797397714415,0.9427973977144148
WEI-2025,WEI-P50-T300,published_prose_swapped_assignment,False,8.2,7.725372721921715,-0.47462727807828387,52.5,67.92937488728707,15.429374887287068,4.305,5.247797397714415,0.9427973977144148
WEI-2025,WEI-P40-T300,published_table_4_assignment,False,7.5,7.117926095936585,-0.38207390406341535,46.0,64.9971369567573,18.997136956757302,3.45,4.62644817305667,1.17644817305667
WEI-2025,WEI-P40-T300,published_prose_swapped_assignment,False,7.5,7.117926095936585,-0.38207390406341535,46.0,64.9971369567573,18.997136956757302,3.45,4.62644817305667,1.17644817305667
WEI-2025,WEI-P30-T300,published_table_4_assignment,False,6.6,6.331271489560904,-0.26872851043909574,43.8,60.92343523566439,17.123435235664395,2.8908,3.8572280855367214,0.9664280855367213
WEI-2025,WEI-P30-T300,published_prose_swapped_assignment,False,6.6,6.331271489560904,-0.26872851043909574,43.8,60.92343523566439,17.123435235664395,2.8908,3.8572280855367214,0.9664280855367213
WEI-2025,WEI-P20-T300,published_table_4_assignment,False,5.1,5.25066275390023,0.15066275390023076,37.3,54.699045823555934,17.399045823555937,1.9023,2.8720624257962712,0.9697624257962711
WEI-2025,WEI-P20-T300,published_prose_swapped_assignment,False,5.1,5.25066275390023,0.15066275390023076,37.3,54.699045823555934,17.399045823555937,1.9023,2.8720624257962712,0.9697624257962711
WEI-2025,WEI-P10-T300,published_table_4_assignment,False,4.0,3.6016209828058794,-0.3983790171941206,33.2,43.44248196202021,10.242481962020207,1.328,1.564633545795779,0.2366335457957789
WEI-2025,WEI-P10-T300,published_prose_swapped_assignment,False,4.0,3.6016209828058794,-0.3983790171941206,33.2,43.44248196202021,10.242481962020207,1.328,1.564633545795779,0.2366335457957789
