group_dimension,group_value,response,n,independent_studies,mae,rmse,bias_pred_minus_obs,median_absolute_error,study_balanced_mae,unit
analysis_scope,primary_all_after_yang_resolution,co2_conversion,88,6,2.124322278796362,3.218575218579314,-0.5077181113813488,1.0509038403020847,2.197253928243508,percentage_points
analysis_scope,primary_all_after_yang_resolution,meoh_selectivity,88,6,18.478605374363227,20.780310745213132,6.906810052370397,17.078862440239917,13.870370484956892,percentage_points
analysis_scope,primary_all_after_yang_resolution,meoh_yield,88,6,2.0674136957129106,2.6848128214362466,0.03632943572633243,1.7209218124537342,1.7958927268079308,percentage_points
analysis_scope,primary_non_yang,co2_conversion,62,5,1.8174579674849878,2.938204501552855,-1.4270388194100536,0.6889674154315923,2.0654895865844365,percentage_points
analysis_scope,primary_non_yang,meoh_selectivity,62,5,15.233239407270156,17.01477740951277,-0.3484989595641933,14.824193436052905,11.400933584308163,percentage_points
analysis_scope,primary_non_yang,meoh_yield,62,5,1.7883958641657247,2.49113552362015,-1.0827458767964016,1.005878156008741,1.6085184902890461,percentage_points
analysis_scope,yang_lower_certainty_digitized,co2_conversion,26,1,2.856075636538868,3.8046686581237315,1.6845081923794092,2.2,2.8560756365388684,percentage_points
analysis_scope,yang_lower_certainty_digitized,meoh_selectivity,26,1,26.21755498820053,27.770426558622567,24.207931542368268,26.35111940507899,26.21755498820053,percentage_points
analysis_scope,yang_lower_certainty_digitized,meoh_yield,26,1,2.7327639094023533,3.09817853289791,2.7048936425113133,2.9351156724300704,2.7327639094023537,percentage_points
numeric_domain,inside_original_numeric_domain,co2_conversion,41,3,1.645544709180234,2.739531573353812,1.111355896820471,0.5936237993546993,1.2214604122852266,percentage_points
numeric_domain,inside_original_numeric_domain,meoh_selectivity,41,3,19.8811158554229,21.42696007321336,17.093967329191713,17.399045823555937,19.15374303858881,percentage_points
numeric_domain,inside_original_numeric_domain,meoh_yield,41,3,1.6985616924653266,2.208626607108945,1.6808878646807643,1.104091040852573,1.4807234147067316,percentage_points
numeric_domain,outside_or_incomplete_domain,co2_conversion,47,6,2.54197930761043,3.5845577893263645,-1.9201018206637872,2.176900904604583,2.2783668877589105,percentage_points
numeric_domain,outside_or_incomplete_domain,meoh_selectivity,47,6,17.255138784502652,20.199313425033303,-1.9798590614524525,16.845956764104603,14.328133069846439,percentage_points
numeric_domain,outside_or_incomplete_domain,meoh_yield,47,6,2.3891782091842075,3.0398910216547694,-1.3982853639998742,2.348905656299321,1.7674373957494038,percentage_points
phase,cubic,co2_conversion,56,6,1.60832326565358,2.8766202353943293,-1.1197036947107242,0.5242397168427617,2.4917308038744226,percentage_points
