study_id,experimental_row_id,authors_year,source_doi,h2s_ppm,exposure_h,activity_temperature_c,accelerated_aging_temperature_c,pressure_bar,feed_h2_fraction,feed_co_fraction,feed_co2_fraction,feed_n2_fraction,clean_normalized_cox_conversion,h2s_normalized_cox_conversion,h2s_to_clean_ratio,measurement_status,source_location,notes
T1-004,T1-004-SI-H2S-T050,He et al. 2020,10.1002/cite.202000045,50,50,210,250,60,0.735,0.135,0.035,0.095,0.226,0.174,0.770,Approximate graph digitization,Wiley SI p. 9 Fig. S1,"Normalized COx conversion proxy, not a methanol-output measurement; the source alternated 60 min activity measurements at 483 K with accelerated aging at 523 K."
T1-004,T1-004-SI-H2S-T100,He et al. 2020,10.1002/cite.202000045,50,100,210,250,60,0.735,0.135,0.035,0.095,0.210,0.078,0.371,Approximate graph digitization,Wiley SI p. 9 Fig. S1,"Normalized COx conversion proxy, not a methanol-output measurement; the source alternated 60 min activity measurements at 483 K with accelerated aging at 523 K."
T1-004,T1-004-SI-H2S-T150,He et al. 2020,10.1002/cite.202000045,50,150,210,250,60,0.735,0.135,0.035,0.095,0.196,0.030,0.153,Approximate graph digitization,Wiley SI p. 9 Fig. S1,"Normalized COx conversion proxy, not a methanol-output measurement; the source alternated 60 min activity measurements at 483 K with accelerated aging at 523 K."
T1-004,T1-004-SI-H2S-T200,He et al. 2020,10.1002/cite.202000045,50,200,210,250,60,0.735,0.135,0.035,0.095,0.205,0.019,0.093,Approximate graph digitization,Wiley SI p. 9 Fig. S1,"Normalized COx conversion proxy, not a methanol-output measurement; the source alternated 60 min activity measurements at 483 K with accelerated aging at 523 K."
T1-004,T1-004-SI-H2S-T400,He et al. 2020,10.1002/cite.202000045,50,400,210,250,60,0.735,0.135,0.035,0.095,0.158,0.008,0.051,Approximate graph digitization,Wiley SI p. 9 Fig. S1,"Normalized COx conversion proxy, not a methanol-output measurement; the source alternated 60 min activity measurements at 483 K with accelerated aging at 523 K."
T1-004,T1-004-SI-H2S-T600,He et al. 2020,10.1002/cite.202000045,50,600,210,250,60,0.735,0.135,0.035,0.095,0.150,0.008,0.053,Approximate graph digitization,Wiley SI p. 9 Fig. S1,"Normalized COx conversion proxy, not a methanol-output measurement; the source alternated 60 min activity measurements at 483 K with accelerated aging at 523 K."
T1-004,T1-004-SI-H2S-T800,He et al. 2020,10.1002/cite.202000045,50,800,210,250,60,0.735,0.135,0.035,0.095,0.148,0.003,0.020,Approximate graph digitization,Wiley SI p. 9 Fig. S1,"Normalized COx conversion proxy, not a methanol-output measurement; the source alternated 60 min activity measurements at 483 K with accelerated aging at 523 K."
T1-004,T1-004-SI-H2S-T1000,He et al. 2020,10.1002/cite.202000045,50,1000,210,250,60,0.735,0.135,0.035,0.095,0.144,0.007,0.049,Approximate graph digitization,Wiley SI p. 9 Fig. S1,"Normalized COx conversion proxy, not a methanol-output measurement; the H2S trace is at the figure's noise floor after about 200 h."
