study_id,experimental_row_id,authors_year,source_doi_or_url,catalyst,catalyst_details,sulfur_species,impurity_conc_ppm,temperature_c,pressure_bar,feed_composition,time_on_stream_h,metric_type,baseline_value,with_impurity_value,percent_change_vs_baseline,unit,modeling_status,evidence_location,data_quality,review_note
SX-004,SX-004-RUN1-T00,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,"0.3054 g; particle size 0.154-0.200 mm; external-recycle gradientless reactor",H2S,211,260,1.02,"6% methanol; 14% CO; 40% H2; balance N2",0,Relative methanol-decomposition activity,1.000,1.000,0.0,dimensionless,Deactivation-submodel baseline,"PDF p. 8; printed p. 279; Table II",High,"This is methanol decomposition at atmospheric pressure, not methanol synthesis."
SX-004,SX-004-RUN1-T10,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,"0.3054 g; particle size 0.154-0.200 mm; external-recycle gradientless reactor",H2S,211,260,1.02,"6% methanol; 14% CO; 40% H2; balance N2",10,Relative methanol-decomposition activity,1.000,0.762,-23.8,dimensionless,Deactivation-submodel only,"PDF p. 8; printed p. 279; Table II",High,"Do not combine with direct methanol-production outcomes."
SX-004,SX-004-RUN1-T12,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,"0.3054 g; particle size 0.154-0.200 mm; external-recycle gradientless reactor",H2S,211,260,1.02,"6% methanol; 14% CO; 40% H2; balance N2",12,Relative methanol-decomposition activity,1.000,0.739,-26.1,dimensionless,Deactivation-submodel only,"PDF p. 8; printed p. 279; Table II",High,"Do not combine with direct methanol-production outcomes."
SX-004,SX-004-RUN1-T16,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,"0.3054 g; particle size 0.154-0.200 mm; external-recycle gradientless reactor",H2S,211,260,1.02,"6% methanol; 14% CO; 40% H2; balance N2",16,Relative methanol-decomposition activity,1.000,0.641,-35.9,dimensionless,Deactivation-submodel only,"PDF p. 8; printed p. 279; Table II",High,"Do not combine with direct methanol-production outcomes."
SX-004,SX-004-RUN1-T18,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,"0.3054 g; particle size 0.154-0.200 mm; external-recycle gradientless reactor",H2S,211,260,1.02,"6% methanol; 14% CO; 40% H2; balance N2",18,Relative methanol-decomposition activity,1.000,0.609,-39.1,dimensionless,Deactivation-submodel only,"PDF p. 8; printed p. 279; Table II",High,"Do not combine with direct methanol-production outcomes."
SX-004,SX-004-RUN1-T20,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,"0.3054 g; particle size 0.154-0.200 mm; external-recycle gradientless reactor",H2S,211,260,1.02,"6% methanol; 14% CO; 40% H2; balance N2",20,Relative methanol-decomposition activity,1.000,0.553,-44.7,dimensionless,Deactivation-submodel only,"PDF p. 8; printed p. 279; Table II",High,"Do not combine with direct methanol-production outcomes."
SX-004,SX-004-RUN1-T24,"Ying, Fang & Zhu (1995)",10.1080/08843759508947678,C207 Cu-based,"0.3054 g; particle size 0.154-0.200 mm; external-recycle gradientless reactor",H2S,211,260,1.02,"6% methanol; 14% CO; 40% H2; balance N2",24,Relative methanol-decomposition activity,1.000,0.468,-53.2,dimensionless,Deactivation-submodel only,"PDF p. 8; printed p. 279; Table II",High,"Do not combine with direct methanol-production outcomes."
